Date,Scored,Name,ID,Team,Bet,GPG,Last 5 GPG,HGPG,PPG,OTPM,TGPG,OTGA,is_home
2024-02-16,0,Nick Bjugstad,8475760,Arizona,370,0.19,0,0.19,4,16142,2.9,2.88,1
2024-02-16,0,Michael Carcone,8479619,Arizona,0,0.33,0,0.28,1,16142,2.9,2.88,1
2024-02-16,0,Logan Cooley,8483431,Arizona,500,0.13,0.4,0.13,2,16142,2.9,2.88,1
2024-02-16,0,Lawson Crouse,8478474,Arizona,285,0.37,0,0.33,13,16142,2.9,2.88,1
2024-02-16,1,Dylan Guenther,8482699,Arizona,370,0.27,0.2,0.21,6,16142,2.9,2.88,1
2024-02-16,0,Barrett Hayton,8480849,Arizona,425,0.1,0.2,0.19,7,16142,2.9,2.88,1
2024-02-16,0,Clayton Keller,8479343,Arizona,205,0.4,0.2,0.43,17,16142,2.9,2.88,1
2024-02-16,0,Alex Kerfoot,8477021,Arizona,500,0.15,0.2,0.15,5,16142,2.9,2.88,1
2024-02-16,0,Matias Maccelli,8481711,Arizona,400,0.15,0.2,0.14,2,16142,2.9,2.88,1
2024-02-16,0,Jack McBain,8480855,Arizona,550,0.16,0,0.16,0,16142,2.9,2.88,1
2024-02-16,0,Nick Schmaltz,8477951,Arizona,275,0.29,0.2,0.34,18,16142,2.9,2.88,1
2024-02-16,0,Jason Zucker,8475722,Arizona,400,0.19,0.2,0.26,7,16142,2.9,2.88,1
2024-02-16,0,Travis Dermott,8478408,Arizona,1500,0.06,0.2,0.05,0,16142,2.9,2.88,1
2024-02-16,0,Matt Dumba,8476856,Arizona,1400,0.06,0.2,0.08,1,16142,2.9,2.88,1
2024-02-16,0,Sean Durzi,8480434,Arizona,650,0.17,0,0.11,7,16142,2.9,2.88,1
2024-02-16,0,Michael Kesselring,8480891,Arizona,1600,0.11,0,0.09,0,16142,2.9,2.88,1
2024-02-16,0,J.J. Moser,8482655,Arizona,1100,0.06,0,0.08,4,16142,2.9,2.88,1
